         1781202 function calls (1758822 primitive calls) in 2.859 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:759(get)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:766(__contains__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:774(keys)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:778(items)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:801(__init__)
      220    0.000    0.000    0.000    0.000 _collections_abc.py:824(__iter__)
       55    0.000    0.000    0.000    0.000 _collections_abc.py:848(__iter__)
       27    0.000    0.000    0.000    0.000 _collections_abc.py:924(clear)
        1    0.000    0.000    0.000    0.000 _compat.py:25(with_metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:33(metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:34(__new__)
        1    0.000    0.000    0.000    0.000 _compat.py:4(<module>)
